Locale,URL,Page Title,Meta Title,Meta Description
"English (EN)","/en/tags/pausenzeit","Redirecting to: /en/tags/breaks/","Redirecting to: /en/tags/breaks/","(No description)"
"English (EN)","/en/tags/pauses","Redirecting to: /en/tags/breaks/","Redirecting to: /en/tags/breaks/","(No description)"
"English (EN)","/en/tags/überstunden","Redirecting to: /en/tags/overtime/","Redirecting to: /en/tags/overtime/","(No description)"
"English (EN)","/en/tags/الاستراحات","Redirecting to: /en/tags/breaks/","Redirecting to: /en/tags/breaks/","(No description)"
"English (EN)","/en/tags/الامتثال","Redirecting to: /en/tags/compliance/","Redirecting to: /en/tags/compliance/","(No description)"
"English (EN)","/en/tags/ساعات-العمل","Redirecting to: /en/tags/overtime/","Redirecting to: /en/tags/overtime/","(No description)"
"English (EN)","/en/terms","Terms &amp; Conditions — Work Time Calculator Pro","Terms &amp; Conditions — Work Time Calculator Pro","Allgemeine Geschäftsbedingungen zur Nutzung des kostenlosen Arbeitszeit Rechner Pros."
"English (EN)","/en/tools","All Calculators &amp; Tools — Work Time Calculator Pro","All Calculators &amp; Tools — Work Time Calculator Pro","Overview of all 21 free calculators for working hours, overtime, breaks, vacation days, and industry premiums."
"English (EN)","/en/tools/arbeitsstunden-rechner","Work Hours Calculator — Calculate Total Working Hours","Work Hours Calculator — Calculate Total Working Hours","Sum up your total work hours and minutes easily with our online working hours calculator."
"English (EN)","/en/tools/arbeitsstundenrechner","Work Hours Counter — Quick Time Counter","Work Hours Counter — Quick Time Counter","Quickly count working hours and decimal times for timesheets and payroll."
"English (EN)","/en/tools/arbeitszeit-rechner","Work Time Calculator Pro — Calculate Net Working Hours","Work Time Calculator Pro — Calculate Net Working Hours","Calculate daily net work time from start time, end time, and breaks. Results in HH:MM and decimal format. Free without registration."
"English (EN)","/en/tools/arbeitszeiterfassung-rechner","Work Time Recording Calculator — Compliance Log","Work Time Recording Calculator — Compliance Log","Record work time according to legal mandates, break compliance, and daily logs."
"English (EN)","/en/tools/feierabend-rechner","Finish Time Calculator — When Can I Leave Work?","Finish Time Calculator — When Can I Leave Work?","Calculate your exact end of workday based on start time, required hours, and breaks."
"English (EN)","/en/tools/feiertagszuschlag-rechner","Public Holiday Bonus Calculator — Holiday Work Pay","Public Holiday Bonus Calculator — Holiday Work Pay","Calculate extra pay allowances and tax advantages for working on public holidays."
"English (EN)","/en/tools/gleitzeit-rechner","Flexitime Calculator — Flexitime Credit &amp; Balance","Flexitime Calculator — Flexitime Credit &amp; Balance","Calculate flexitime balances, accumulated flexi hours, and core working hours."
"English (EN)","/en/tools/monatsstunden-rechner","Monthly Hours Calculator — Convert Weekly to Monthly Hours","Monthly Hours Calculator — Convert Weekly to Monthly Hours","Convert weekly working hours to average monthly hours using official multipliers."
"English (EN)","/en/tools/nachtzuschlag-rechner","Night Shift Bonus Calculator — Calculate Night Work Allowance","Night Shift Bonus Calculator — Calculate Night Work Allowance","Calculate night shift bonuses, tax-free allowances, and extra pay for night shifts."
"English (EN)","/en/tools/resturlaub-rechner","Remaining Vacation Calculator — Unused Leave Balance","Remaining Vacation Calculator — Unused Leave Balance","Calculate remaining unused vacation days, taken leave, and carry-over entitlement."
"English (EN)","/en/tools/schichtzulagen-rechner","Shift Allowance Calculator — Calculate Shift Bonuses","Shift Allowance Calculator — Calculate Shift Bonuses","Calculate shift work allowances, late shift bonuses, and rotation extra pay."
"English (EN)","/en/tools/sonntagszuschlag-rechner","Sunday Bonus Calculator — Sunday Work Pay Allowance","Sunday Bonus Calculator — Sunday Work Pay Allowance","Calculate Sunday work bonuses, premium pay, and tax-free extra allowances."
"English (EN)","/en/tools/stunden-und-minuten-rechner","Hours and Minutes Calculator — Add &amp; Subtract Time","Hours and Minutes Calculator — Add &amp; Subtract Time","Add, subtract, and convert hours and minutes easily for work logs and timesheets."
"English (EN)","/en/tools/stundenlohn-rechner","Hourly Wage Calculator — Calculate Hourly Rate from Salary","Hourly Wage Calculator — Calculate Hourly Rate from Salary","Calculate your exact hourly wage from monthly salary and weekly working hours. Free online wage calculator."
"English (EN)","/en/tools/teilzeit-rechner","Part-Time Calculator — Salary and Hours Comparison","Part-Time Calculator — Salary and Hours Comparison","Calculate part-time salary, reduced hours, and earnings ratio compared to full-time work."
"English (EN)","/en/tools/ueberstunden-rechner","Overtime Calculator — Calculate Extra Hours &amp; Pay","Overtime Calculator — Calculate Extra Hours &amp; Pay","Calculate your accumulated overtime hours, compensation pay, and time-off balance."
"English (EN)","/en/tools/urlaubsgeld-rechner","Holiday Pay Calculator — Calculate Vacation Bonus","Holiday Pay Calculator — Calculate Vacation Bonus","Calculate your holiday pay entitlement and bonus payments based on your average salary."
"English (EN)","/en/tools/urlaubstage-rechner","Vacation Days Calculator — Calculate Annual Leave Entitlement","Vacation Days Calculator — Calculate Annual Leave Entitlement","Calculate your annual vacation day entitlement based on working days per week and join date."
"English (EN)","/en/tools/wochenarbeitszeit-rechner","Weekly Work Time Calculator — Target vs Actual Hours","Weekly Work Time Calculator — Target vs Actual Hours","Compare target weekly hours against actual hours worked to track overtime."
"English (EN)","/en/tools/wochenstunden-rechner","Weekly Hours Calculator — Total Weekly Work Hours","Weekly Hours Calculator — Total Weekly Work Hours","Calculate weekly total working hours, average daily hours, and weekly overtime."
"English (EN)","/en/tools/zeiterfassung-rechner","Time Tracking Calculator — Digital Timesheet","Time Tracking Calculator — Digital Timesheet","Track daily working hours, manage timesheets, and export work logs effortlessly."
"German (DE)","/faq","Häufig gestellte Fragen (FAQ) — Arbeitszeit Rechner Pro","Häufig gestellte Fragen (FAQ) — Arbeitszeit Rechner Pro","Hier finden Sie Antworten auf häufig gestellte Fragen zu Pausenzeiten, Höchstarbeitszeit und Zeiterfassung."
"French (FR)","/fr","Calculateur de Temps de Travail Pro — Heures et Pauses En Ligne","Calculateur de Temps de Travail Pro — Heures et Pauses En Ligne","Calculez votre temps de travail quotidien net moins les pauses. Gratuit, sans publicité et hors ligne."
"French (FR)","/fr/about","À Propos de Nous — Calculateur Temps de Travail","À Propos de Nous — Calculateur Temps de Travail","Erfahren Sie mehr über unsere redaktionelle Transparenz und die Experten hinter dem Arbeitszeit Rechner Pro Pro."
"French (FR)","/fr/accessibility","Déclaration d&#39;Accessibilité — Calculateur Temps de Travail","Déclaration d","Unsere Erklärung zur Barrierefreiheit gemäß den WCAG 2.2 AA Richtlinien."
"French (FR)","/fr/archives","Archives — Calculateur Temps de Travail","Archives — Calculateur Temps de Travail","Entdecken Sie ältere Beiträge und Fachleitfäden in unserem zeitlichen Archiv."
"French (FR)","/fr/authors","Nos Auteurs &amp; Experts — Calculateur Temps de Travail","Nos Auteurs &amp; Experts — Calculateur Temps de Travail","Lernen Sie das Expertenteam hinter dem Arbeitszeit Rechner Pro kennen — Juristen, HR-Spezialisten und Fachredakteure."
"French (FR)","/fr/authors/j-doe","John Doe — Profil d&#39;auteur et articles","John Doe — Profil d","John Doe ist Experte für Global HR Compliance &amp; Workspace Optimization. Hier finden Sie alle Veröffentlichungen und Beiträge."
"French (FR)","/fr/authors/john-doe","Redirecting to: /fr/authors/j-doe/","Redirecting to: /fr/authors/j-doe/","(No description)"
"French (FR)","/fr/authors/m-schmidt","M. Schmidt — Profil d&#39;auteur et articles","M. Schmidt — Profil d","M. Schmidt ist Experte für Arbeitsrecht &amp; HR-Compliance. Hier finden Sie alle Veröffentlichungen und Beiträge."
"French (FR)","/fr/authors/m.-schmidt","Redirecting to: /fr/authors/m-schmidt/","Redirecting to: /fr/authors/m-schmidt/","(No description)"
"French (FR)","/fr/blog","Guides &amp; Articles — Calculateur Temps de Travail","Guides &amp; Articles — Calculateur Temps de Travail","Aktuelle Artikel zu Arbeitsrecht, Pausenregelungen, Zeiterfassung und Überstunden in Ihrem Land."
"French (FR)","/fr/blog/arbeitszeitgesetz-pausenregelungen-de","Redirecting to: /fr/blog/lois-duree-travail-fr/","Redirecting to: /fr/blog/lois-duree-travail-fr/","(No description)"
"French (FR)","/fr/blog/lois-duree-travail-fr","Loi sur la durée du travail : Temps de pause et limites en France","Loi sur la durée du travail : Temps de pause et limites en France","Comprendre les règles du Code du travail sur les pauses obligatoires, la durée maximale de travail et le calcul des heures supplémentaires."
"French (FR)","/fr/blog/working-hours-laws-ar","Redirecting to: /fr/blog/lois-duree-travail-fr/","Redirecting to: /fr/blog/lois-duree-travail-fr/","(No description)"
"French (FR)","/fr/blog/working-hours-laws-en","Redirecting to: /fr/blog/lois-duree-travail-fr/","Redirecting to: /fr/blog/lois-duree-travail-fr/","(No description)"
"French (FR)","/fr/categories","Catégories — Calculateur Temps de Travail","Catégories — Calculateur Temps de Travail","Entdecken Sie Beiträge sortiert nach Themen und Kategorien."
"French (FR)","/fr/categories/arbeitsrecht","Redirecting to: /fr/categories/droit-du-travail/","Redirecting to: /fr/categories/droit-du-travail/","(No description)"
"French (FR)","/fr/categories/droit-du-travail","Kategorie: Droit du travail — Arbeitszeit Rechner Pro","Kategorie: Droit du travail — Arbeitszeit Rechner Pro","Entdecken Sie alle Fachbeiträge rund um das Thema Droit du travail."
"French (FR)","/fr/categories/labor-law","Redirecting to: /fr/categories/droit-du-travail/","Redirecting to: /fr/categories/droit-du-travail/","(No description)"
"French (FR)","/fr/categories/قانون-العمل","Redirecting to: /fr/categories/droit-du-travail/","Redirecting to: /fr/categories/droit-du-travail/","(No description)"
"French (FR)","/fr/contact","Contactez-nous — Calculateur Temps de Travail","Contactez-nous — Calculateur Temps de Travail","Nehmen Sie Kontakt mit unserem Redaktions- und Support-Team auf."
"French (FR)","/fr/cookie-policy","Politique de Cookies — Calculateur Temps de Travail","Politique de Cookies — Calculateur Temps de Travail","Transparente Informationen über den Einsatz von Cookies auf dem Arbeitszeit Rechner Pro."
"French (FR)","/fr/disclaimer","Avertissement Légal — Calculateur Temps de Travail","Avertissement Légal — Calculateur Temps de Travail","Haftungsausschluss bezüglich der Nutzungsergebnisse des Arbeitszeit Rechner Pros."
"French (FR)","/fr/editorial","Charte Éditoriale — Calculateur Temps de Travail","Charte Éditoriale — Calculateur Temps de Travail","Unsere Leitlinien für fachliche Richtigkeit, Verlässlichkeit und Transparenz."
"French (FR)","/fr/faq","Foire Aux Questions (FAQ) — Calculateur Temps de Travail","Foire Aux Questions (FAQ) — Calculateur Temps de Travail","Hier finden Sie Antworten auf häufig gestellte Fragen zu Pausenzeiten, Höchstarbeitszeit und Zeiterfassung."
"French (FR)","/fr/privacy","Politique de Confidentialité — Calculateur Temps de Travail","Politique de Confidentialité — Calculateur Temps de Travail","Unsere Datenschutzerklärung erklärt transparent, wie wir mit Daten umgehen und die Privatsphäre wahren."
"French (FR)","/fr/search","Recherche — Calculateur Temps de Travail","Recherche — Calculateur Temps de Travail","Suchen Sie nach Artikeln, Gesetzen und Hilfestellungen rund um Arbeitszeit und Erfassung."
"French (FR)","/fr/tags","Mots-clés &amp; Thèmes — Calculateur Temps de Travail","Mots-clés &amp; Thèmes — Calculateur Temps de Travail","Navigieren Sie durch alle Themengebiete des Arbeitszeit Rechner Pros über Tags."
"French (FR)","/fr/tags/arbzg","Redirecting to: /fr/tags/l%C3%A9gislation/","Redirecting to: /fr/tags/l%C3%A9gislation/","(No description)"
"French (FR)","/fr/tags/breaks","Redirecting to: /fr/tags/pauses/","Redirecting to: /fr/tags/pauses/","(No description)"
"French (FR)","/fr/tags/compliance","Redirecting to: /fr/tags/l%C3%A9gislation/","Redirecting to: /fr/tags/l%C3%A9gislation/","(No description)"
"French (FR)","/fr/tags/heures-supplémentaires","Schlagwort: #Heures supplémentaires — Arbeitszeit Rechner Pro","Schlagwort: #Heures supplémentaires — Arbeitszeit Rechner Pro","Entdecken Sie alle Fachbeiträge unter dem Schlagwort #Heures supplémentaires."
"French (FR)","/fr/tags/législation","Schlagwort: #Législation — Arbeitszeit Rechner Pro","Schlagwort: #Législation — Arbeitszeit Rechner Pro","Entdecken Sie alle Fachbeiträge unter dem Schlagwort #Législation."
"French (FR)","/fr/tags/overtime","Redirecting to: /fr/tags/heures-suppl%C3%A9mentaires/","Redirecting to: /fr/tags/heures-suppl%C3%A9mentaires/","(No description)"
"French (FR)","/fr/tags/pausenzeit","Redirecting to: /fr/tags/pauses/","Redirecting to: /fr/tags/pauses/","(No description)"
"French (FR)","/fr/tags/pauses","Schlagwort: #Pauses — Arbeitszeit Rechner Pro","Schlagwort: #Pauses — Arbeitszeit Rechner Pro","Entdecken Sie alle Fachbeiträge unter dem Schlagwort #Pauses."
"French (FR)","/fr/tags/überstunden","Redirecting to: /fr/tags/heures-suppl%C3%A9mentaires/","Redirecting to: /fr/tags/heures-suppl%C3%A9mentaires/","(No description)"
"French (FR)","/fr/tags/الاستراحات","Redirecting to: /fr/tags/pauses/","Redirecting to: /fr/tags/pauses/","(No description)"
"French (FR)","/fr/tags/الامتثال","Redirecting to: /fr/tags/l%C3%A9gislation/","Redirecting to: /fr/tags/l%C3%A9gislation/","(No description)"
"French (FR)","/fr/tags/ساعات-العمل","Redirecting to: /fr/tags/heures-suppl%C3%A9mentaires/","Redirecting to: /fr/tags/heures-suppl%C3%A9mentaires/","(No description)"
"French (FR)","/fr/terms","Conditions Générales d&#39;Utilisation — Calculateur Temps de Travail","Conditions Générales d","Allgemeine Geschäftsbedingungen zur Nutzung des kostenlosen Arbeitszeit Rechner Pros."
"French (FR)","/fr/tools","Tous les Outils et Calculateurs — Calculateur Temps de Travail","Tous les Outils et Calculateurs — Calculateur Temps de Travail","Aperçu de nos 21 calculateurs gratuits pour le temps de travail, les heures supplémentaires, les pauses et les congés."
"French (FR)","/fr/tools/arbeitsstunden-rechner","Calculateur Heures de Travail — Somme des Heures","Calculateur Heures de Travail — Somme des Heures","Additionnez facilement vos heures et minutes de travail totales avec notre calculateur."
"French (FR)","/fr/tools/arbeitsstundenrechner","Compteur Heures de Travail — Calcul Rapide","Compteur Heures de Travail — Calcul Rapide","Comptez rapidement les heures de travail et convertissez-les en valeurs décimales."
"French (FR)","/fr/tools/arbeitszeit-rechner","Calculateur Temps de Travail — Calculez vos Heures de Travail","Calculateur Temps de Travail — Calculez vos Heures de Travail","Calculez le temps de travail quotidien net à partir de l"
"French (FR)","/fr/tools/arbeitszeiterfassung-rechner","Calculateur Enregistrement Temps — Saisie Conforme","Calculateur Enregistrement Temps — Saisie Conforme","Enregistrez le temps de travail conformément à la législation et aux temps de pause."
"French (FR)","/fr/tools/feierabend-rechner","Calculateur Fin de Journée — À Quelle Heure Partir ?","Calculateur Fin de Journée — À Quelle Heure Partir ?","Calculez l"
"French (FR)","/fr/tools/feiertagszuschlag-rechner","Calculateur Jours Fériés — Majoration Travail Férié","Calculateur Jours Fériés — Majoration Travail Férié","Calculez les majorations de salaire pour les heures travaillées les jours fériés."
"French (FR)","/fr/tools/gleitzeit-rechner","Calculateur Horaire Flexible — Solde d&#39;Heures","Calculateur Horaire Flexible — Solde d","Calculez votre solde d"
"French (FR)","/fr/tools/monatsstunden-rechner","Calculateur Heures Mensuelles — Semaine en Mois","Calculateur Heures Mensuelles — Semaine en Mois","Convertissez les heures hebdomadaires en moyenne mensuelle d"
"French (FR)","/fr/tools/nachtzuschlag-rechner","Calculateur Majoration Nuit — Travail de Nuit","Calculateur Majoration Nuit — Travail de Nuit","Calculez les majorations pour travail de nuit et les heures supplémentaires de nuit."
"French (FR)","/fr/tools/resturlaub-rechner","Calculateur Solde de Congés — Congés Restants","Calculateur Solde de Congés — Congés Restants","Calculez votre solde de jours de congé restants et les jours de report."
"French (FR)","/fr/tools/schichtzulagen-rechner","Calculateur Prime d&#39;Équipe — Travail en Postes","Calculateur Prime d","Calculez les primes d"
"French (FR)","/fr/tools/sonntagszuschlag-rechner","Calculateur Majoration Dimanche — Travail le Dimanche","Calculateur Majoration Dimanche — Travail le Dimanche","Calculez les majorations pour le travail le dimanche et les exonérations fiscales."
"French (FR)","/fr/tools/stunden-und-minuten-rechner","Calculateur Heures et Minutes — Additionner et Soustraire","Calculateur Heures et Minutes — Additionner et Soustraire","Additionnez et soustrayez des heures et minutes facilement pour vos relevés de temps."
"French (FR)","/fr/tools/stundenlohn-rechner","Calculateur Taux Horaire — Calculez votre Salaire Horaire","Calculateur Taux Horaire — Calculez votre Salaire Horaire","Calculez votre salaire horaire exact à partir du salaire mensuel et des heures hebdomadaires."
"French (FR)","/fr/tools/teilzeit-rechner","Calculateur Temps Partiel — Salaire et Heures","Calculateur Temps Partiel — Salaire et Heures","Calculez le salaire à temps partiel, la réduction du temps de travail et le salaire au prorata."
"French (FR)","/fr/tools/ueberstunden-rechner","Calculateur Heures Supplémentaires — Majorations et Paie","Calculateur Heures Supplémentaires — Majorations et Paie","Calculez vos heures supplémentaires accumulées et leur indemnisation financière."
"French (FR)","/fr/tools/urlaubsgeld-rechner","Calculateur Prime de Vacances — Calculez vos Indemnités","Calculateur Prime de Vacances — Calculez vos Indemnités","Calculez vos droits aux primes de vacances en fonction de votre salaire moyen."
"French (FR)","/fr/tools/urlaubstage-rechner","Calculateur Jours de Congé — Droit aux Congés Payés","Calculateur Jours de Congé — Droit aux Congés Payés","Calculez vos jours de congé annuel payé en fonction des jours travaillés par semaine."
"French (FR)","/fr/tools/wochenarbeitszeit-rechner","Calculateur Temps Hebdomadaire — Heures Réalisées","Calculateur Temps Hebdomadaire — Heures Réalisées","Comparez les heures hebdomadaires prévues et réalisées pour suivre les écarts."
"French (FR)","/fr/tools/wochenstunden-rechner","Calculateur Heures Hebdomadaires — Total Semaine","Calculateur Heures Hebdomadaires — Total Semaine","Calculez le total des heures de travail hebdomadaires et la moyenne quotidienne."
"French (FR)","/fr/tools/zeiterfassung-rechner","Calculateur Suivi du Temps — Relevé d&#39;Heures","Calculateur Suivi du Temps — Relevé d","Suivez les heures de travail quotidiennes et gérez vos relevés de temps facilement."
"German (DE)","/privacy","Datenschutzerklärung — Arbeitszeit Rechner Pro","Datenschutzerklärung — Arbeitszeit Rechner Pro","Unsere Datenschutzerklärung erklärt transparent, wie wir mit Daten umgehen und die Privatsphäre wahren."
"German (DE)","/search","Suche — Arbeitszeit Rechner Pro","Suche — Arbeitszeit Rechner Pro","Suchen Sie nach Artikeln, Gesetzen und Hilfestellungen rund um Arbeitszeit und Erfassung."
"German (DE)","/tags","Tags &amp; Schlagworte — Arbeitszeit Rechner Pro","Tags &amp; Schlagworte — Arbeitszeit Rechner Pro","Navigieren Sie durch alle Themengebiete des Arbeitszeit Rechner Pros über Tags."
"German (DE)","/tags/arbeitszeitgesetz","Schlagwort: #Arbeitszeitgesetz — Arbeitszeit Rechner Pro","Schlagwort: #Arbeitszeitgesetz — Arbeitszeit Rechner Pro","Entdecken Sie alle Fachbeiträge unter dem Schlagwort #Arbeitszeitgesetz."
"German (DE)","/tags/arbzg","Schlagwort: #ArbZG — Arbeitszeit Rechner Pro","Schlagwort: #ArbZG — Arbeitszeit Rechner Pro","Entdecken Sie alle Fachbeiträge unter dem Schlagwort #ArbZG."
"German (DE)","/tags/breaks","Redirecting to: /tags/pausenzeit/","Redirecting to: /tags/pausenzeit/","(No description)"
"German (DE)","/tags/compliance","Redirecting to: /tags/arbzg/","Redirecting to: /tags/arbzg/","(No description)"
"German (DE)","/tags/heures-supplémentaires","Redirecting to: /tags/%C3%BCberstunden/","Redirecting to: /tags/%C3%BCberstunden/","(No description)"
"German (DE)","/tags/législation","Redirecting to: /tags/arbzg/","Redirecting to: /tags/arbzg/","(No description)"
"German (DE)","/tags/overtime","Redirecting to: /tags/%C3%BCberstunden/","Redirecting to: /tags/%C3%BCberstunden/","(No description)"
"German (DE)","/tags/pausenzeit","Schlagwort: #Pausenzeit — Arbeitszeit Rechner Pro","Schlagwort: #Pausenzeit — Arbeitszeit Rechner Pro","Entdecken Sie alle Fachbeiträge unter dem Schlagwort #Pausenzeit."
"German (DE)","/tags/pauses","Redirecting to: /tags/pausenzeit/","Redirecting to: /tags/pausenzeit/","(No description)"
"German (DE)","/tags/überstunden","Schlagwort: #Überstunden — Arbeitszeit Rechner Pro","Schlagwort: #Überstunden — Arbeitszeit Rechner Pro","Entdecken Sie alle Fachbeiträge unter dem Schlagwort #Überstunden."
"German (DE)","/tags/الاستراحات","Redirecting to: /tags/pausenzeit/","Redirecting to: /tags/pausenzeit/","(No description)"
"German (DE)","/tags/الامتثال","Redirecting to: /tags/arbzg/","Redirecting to: /tags/arbzg/","(No description)"
"German (DE)","/tags/ساعات-العمل","Redirecting to: /tags/arbeitszeitgesetz/","Redirecting to: /tags/arbeitszeitgesetz/","(No description)"
"German (DE)","/terms","Allgemeine Geschäftsbedingungen — Arbeitszeit Rechner Pro","Allgemeine Geschäftsbedingungen — Arbeitszeit Rechner Pro","Allgemeine Geschäftsbedingungen zur Nutzung des kostenlosen Arbeitszeit Rechner Pros."
"German (DE)","/tools","Alle Rechner &amp; Tools im Überblick — Arbeitszeit Rechner Pro","Alle Rechner &amp; Tools im Überblick — Arbeitszeit Rechner Pro","Übersicht aller 21 kostenlosen Rechner für Arbeitszeit, Überstunden, Pausenzeit, Urlaubsanspruch und Branchenzuschläge."
"German (DE)","/tools/arbeitsstunden-rechner","Arbeitsstunden Rechner — Geleistete Stunden summieren","Arbeitsstunden Rechner — Geleistete Stunden summieren","Tägliche Arbeitsstunden erfassen, summieren und als Stundennachweis exportieren. Mit Dezimalwert für die Lohnabrechnung."
"German (DE)","/tools/arbeitsstundenrechner","Arbeitsstundenrechner — Stunden in Dezimal umwandeln","Arbeitsstundenrechner — Stunden in Dezimal umwandeln","Arbeitsstunden in Dezimalstunden und Industrieminuten umrechnen. Umrechnungstabelle und Formel inklusive."
"German (DE)","/tools/arbeitszeit-rechner","Arbeitszeit Rechner Pro — Netto-Arbeitszeit berechnen","Arbeitszeit Rechner Pro — Netto-Arbeitszeit berechnen","Tägliche Netto-Arbeitszeit aus Arbeitsbeginn, Arbeitsende und Pausen berechnen. Ergebnis in HH:MM und Dezimal. Kostenlos und ohne Anmeldung."
"German (DE)","/tools/arbeitszeiterfassung-rechner","Arbeitszeiterfassung Rechner — Gesetzeskonforme Zeitdokumentation","Arbeitszeiterfassung Rechner — Gesetzeskonforme Zeitdokumentation","Arbeitszeiten gesetzeskonform erfassen und dokumentieren. BAG-Urteil 2022, ArbSchG und ArbZG im Überblick."
"German (DE)","/tools/feierabend-rechner","Feierabend Rechner — Wann kann ich heute gehen?","Feierabend Rechner — Wann kann ich heute gehen?","Feierabendzeit aus Arbeitsbeginn, Soll-Stunden und Pausen berechnen. Auch bei Überstundenabbau und Gleitzeit."
"German (DE)","/tools/feiertagszuschlag-rechner","Feiertagszuschlag Rechner — Zuschläge für Feiertagsarbeit","Feiertagszuschlag Rechner — Zuschläge für Feiertagsarbeit","Feiertagszuschläge berechnen: Steuerfreie Zuschläge bis 125 % (Weihnachten 150 %). Nach § 3b EStG und § 9 ArbZG."
"German (DE)","/tools/gleitzeit-rechner","Gleitzeit Rechner — Gleitzeitkonto-Saldo berechnen","Gleitzeit Rechner — Gleitzeitkonto-Saldo berechnen","Gleitzeitkonto-Saldo aus täglichen Plus- und Minusstunden berechnen. Gleittage planen und Kontogrenzen einhalten."
"German (DE)","/tools/monatsstunden-rechner","Monatsstunden Rechner — Von Wochenstunden zu Monatsstunden","Monatsstunden Rechner — Von Wochenstunden zu Monatsstunden","Monatliche Arbeitsstunden aus Wochenstunden berechnen. Korrekter Faktor 4,333 für Vollzeit, Teilzeit und Minijob."
"German (DE)","/tools/nachtzuschlag-rechner","Nachtzuschlag Rechner — Nachtarbeitszuschläge berechnen","Nachtzuschlag Rechner — Nachtarbeitszuschläge berechnen","Nachtzuschläge berechnen: Steuerfreie Zuschläge für Arbeit zwischen 23 und 6 Uhr. Nach § 3b EStG und § 6 ArbZG."
"German (DE)","/tools/resturlaub-rechner","Resturlaub Rechner — Verbleibende Urlaubstage berechnen","Resturlaub Rechner — Verbleibende Urlaubstage berechnen","Resturlaub berechnen: Verbleibende Urlaubstage, Übertragungsfristen und Urlaubsabgeltung bei Kündigung."
"German (DE)","/tools/schichtzulagen-rechner","Schichtzulagen Rechner — Zuschläge für alle Schichtmodelle","Schichtzulagen Rechner — Zuschläge für alle Schichtmodelle","Schichtzulagen für Früh-, Spät-, Nacht- und Wechselschicht berechnen. Steuerfreie Anteile nach § 3b EStG ermitteln."
"German (DE)","/tools/sonntagszuschlag-rechner","Sonntagszuschlag Rechner — Zuschläge für Sonntagsarbeit","Sonntagszuschlag Rechner — Zuschläge für Sonntagsarbeit","Sonntagszuschläge berechnen: Steuerfreie Zuschläge bis 50 % des Grundlohns. Nach § 3b EStG. Kostenlos und sofort."
"German (DE)","/tools/stunden-und-minuten-rechner","Stunden und Minuten Rechner — Zeiten addieren und konvertieren","Stunden und Minuten Rechner — Zeiten addieren und konvertieren","Stunden und Minuten addieren, subtrahieren und in Dezimal konvertieren. Für Stundenzettel, Lohnabrechnung und Projektzeiten."
"German (DE)","/tools/stundenlohn-rechner","Stundenlohn Rechner — Vom Gehalt zum Stundenverdienst","Stundenlohn Rechner — Vom Gehalt zum Stundenverdienst","Stundenlohn aus Monatsgehalt und Wochenstunden berechnen. Mindestlohn-Check inklusive. Kostenlos und ohne Registrierung."
"German (DE)","/tools/teilzeit-rechner","Teilzeit Rechner — Stunden und Gehalt bei Teilzeit berechnen","Teilzeit Rechner — Stunden und Gehalt bei Teilzeit berechnen","Teilzeit-Arbeitszeit, Monatsgehalt und Urlaubsanspruch bei reduzierter Stundenzahl berechnen. Kostenlos und nach TzBfG."
"German (DE)","/tools/ueberstunden-rechner","Überstunden Rechner — Plus- und Minusstunden berechnen","Überstunden Rechner — Plus- und Minusstunden berechnen","Überstunden aus Ist- und Soll-Arbeitszeit berechnen. Wochenvergleich, Freizeitausgleich und Vergütungsanspruch."
"German (DE)","/tools/urlaubsgeld-rechner","Urlaubsgeld Rechner — Urlaubsentgelt und Sonderzahlung berechnen","Urlaubsgeld Rechner — Urlaubsentgelt und Sonderzahlung berechnen","Urlaubsentgelt nach BUrlG und zusätzliches Urlaubsgeld berechnen. Teilzeit-Anteil und Steuerbelastung inklusive."
"German (DE)","/tools/urlaubstage-rechner","Urlaubstage Rechner — Urlaubsanspruch berechnen","Urlaubstage Rechner — Urlaubsanspruch berechnen","Urlaubsanspruch bei Vollzeit, Teilzeit, Jobwechsel und unterjährigem Eintritt berechnen. Nach Bundesurlaubsgesetz."
"German (DE)","/tools/wochenarbeitszeit-rechner","Wochenarbeitszeit Rechner — Ist-Stunden mit Tarif vergleichen","Wochenarbeitszeit Rechner — Ist-Stunden mit Tarif vergleichen","Tatsächliche Wochenarbeitszeit erfassen und mit tariflicher Soll-Zeit vergleichen. Für TVöD, IG Metall, ver.di und mehr."
"German (DE)","/tools/wochenstunden-rechner","Wochenstunden Rechner — Tägliche Soll-Zeit aus Wochenstunden","Wochenstunden Rechner — Tägliche Soll-Zeit aus Wochenstunden","Wochenstunden auf Arbeitstage verteilen und tägliche Soll-Arbeitszeit berechnen. Für 4-, 5- und 6-Tage-Wochen."
"German (DE)","/tools/zeiterfassung-rechner","Zeiterfassung Rechner — Arbeitszeiten digital dokumentieren","Zeiterfassung Rechner — Arbeitszeiten digital dokumentieren","Digitale Zeiterfassung: Arbeitszeiten BAG-konform erfassen und als Wochenbericht exportieren. DSGVO-konform und kostenlos."
